"StudyID"	"Reference"	"Journal"	"PublicationYear"	"DOI"
"StudyID_51"	"Zhou et al. 2013"	"JOURNAL OF OCEANOGRAPHY"	2013	"10.1007/s10872-013-0180-x"
"StudyID_52"	"Thompson et al. 2013"	"JOURNAL OF PLANKTON RESEARCH"	2013	"10.1093/plankt/fbt014"
"StudyID_53"	"Murry and Farrell 2014"	"FRESHWATER BIOLOGY"	2014	"10.1111/fwb.12255"
"StudyID_54"	"Trudnowska et al. 2014"	"JOURNAL OF MARINE SYSTEMS"	2014	"10.1016/j.jmarsys.2014.04.010"
"StudyID_55"	"Yurista et al. 2014"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	2014	"10.1139/cjfas-2013-0596"
"StudyID_56"	"García-Muñoz et al. 2014"	"JOURNAL OF PLANKTON RESEARCH"	2014	"10.1093/plankt/fbu042"
"StudyID_57"	"Ma et al. 2014"	"CONTINENTAL SHELF RESEARCH"	2014	"10.1016/j.csr.2013.10.012"
"StudyID_58"	"Junker et al. 2014"	"LIMNOLOGY AND OCEANOGRAPHY"	2014	"10.4319/lo.2014.59.2.0507"
"StudyID_59"	"Sato et al. 2015"	"ZOOLOGICAL STUDIES"	2015	"10.1186/s40555-014-0098-z"
"StudyID_60"	"Zhou et al. 2015"	"MARINE BIOLOGY RESEARCH"	2015	"10.1080/17451000.2014.904882"
"StudyID_61"	"Marcolin et al. 2015"	"JOURNAL OF PLANKTON RESEARCH"	2015	"10.1093/plankt/fbv035"
"StudyID_62"	"Clement et al. 2015"	"JOURNAL OF FRESHWATER ECOLOGY"	2015	"10.1080/02705060.2015.1030787"
"StudyID_63"	"Wheeland and Rose 2016"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	2016	"10.1139/cjfas-2014-0446"
"StudyID_64"	"de Kerckhove et al. 2016"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	2016	"10.1139/cjfas-2015-0222"
"StudyID_65"	"Astasko et al. 2016"	"MARINE ECOLOGY PROGRESS SERIES"	2016	"10.3354/meps11709"
"StudyID_66"	"Dai et al. 2016"	"JOURNAL OF MARINE SYSTEMS"	2016	"10.1016/j.jmarsys.2015.11.004"
"StudyID_67"	"Quiroja et al. 2016"	"MARINE ECOLOGY PROGRESS SERIES"	2016	"10.3354/meps11903"
"StudyID_68"	"Antón-Pardo and Armengol 2016"	"ESTUARINE, COASTAL AND SHELF SCIENCE"	2016	"10.1016/j.ecss.2016.06.020"
"StudyID_69"	"Trebilco et al. 2016"	"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES"	2016	"10.1098/rspb.2016.0816"
"StudyID_70"	"Wallis et al. 2016"	"DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY"	2016	"10.1016/j.dsr2.2015.10.002"
"StudyID_71"	"Benejam et al. 2016"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	2016	"10.1139/cjfas-2015-0025"
"StudyID_72"	"Robinson et al. 2017"	"GLOBAL CHANGE BIOLOGY"	2017	"10.1111/gcb.13482"
"StudyID_73"	"Dai et al. 2017"	"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS"	2017	"10.1016/j.dsr.2016.12.015"
"StudyID_74"	"Fabré et al. 2017"	"FISHERIES RESEARCH"	2017	"10.1016/j.fishres.2016.12.015"
"StudyID_75"	"Mulder and Mancinelli 2017"	"ECOLOGICAL COMPLEXITY"	2017	"10.1016/j.ecocom.2017.04.003"
"StudyID_76"	"Frangoulis et al. 2017"	"CONTINENTAL SHELF RESEARCH"	2017	"10.1016/j.csr.2016.10.004"
"StudyID_77"	"Soto et al. 2017"	"MARINE BIODIVERSITY"	2017	"10.1007/s12526-016-0479-0"
"StudyID_78"	"MacGarvey and Kirk 2018"	"HYDROBIOLOGIA"	2018	"10.1007/s10750-017-3448-0"
"StudyID_79"	"Ke et al. 2018"	"AQUATIC ECOSYSTEM HEALTH & MANAGEMENT"	2018	"10.1080/14634988.2018.1432948"
"StudyID_80"	"Hikichi et al. 2018"	"REGIONAL STUDIES IN MARINE SCIENCE"	2018	"10.1016/j.rsma.2018.03.011"
