StudyID	SiteID	GeographicalLatitude	GeographicalLongitude	AverageCoordinates	Hemisphere	Realm	GeographicalTerritory	GeographicalTerritory2	Habitat	HabitatSpecification	Ecosystem	StudyContext	BiologicalOrganisation	SpeciesType	SamplingMethodology									
StudyID_11	SiteID_51	54.632	18.897	No	North	Palearctic	Europe	Baltic	Sea	Marine	Marine	Gulf	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Scuba	diving	and	hand-held	corer		
StudyID_11	SiteID_52	54.558	18.979	No	North	Palearctic	Europe	Baltic	Sea	Marine	Marine	Gulf	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Scuba	diving	and	hand-held	corer		
StudyID_11	SiteID_53	54.575	19.322	No	North	Palearctic	Europe	Baltic	Sea	Marine	Marine	Gulf	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Scuba	diving	and	hand-held	corer		
StudyID_12	SiteID_54	-33.667	150.667	No	South	Australasia	Oceania	Australia	Freshwater	Lotic	Stream	Seasonality	Community	Zooplankton	Haney-type	trap								
StudyID_13	SiteID_55	53.105	11.511	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(non	stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net	
StudyID_13	SiteID_56	52.398	13.635	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(non	stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net	
StudyID_13	SiteID_57	53.215	13.321	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(non	stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net	
StudyID_13	SiteID_58	53.597	12.123	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(non	stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net	
StudyID_13	SiteID_59	53.594	12.205	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_60	53.356	13.468	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_61	53.189	12.802	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_62	53.151	13.025	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_63	53.568	12.343	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_64	53.463	12.305	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_65	53.321	13.438	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_66	53.157	12.801	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_67	53.609	12.295	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_68	53.433	12.777	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_69	52.059	11.855	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_70	53.613	12.545	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_71	52.221	11.65	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_72	53.274	13.421	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_73	53.287	13.433	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_74	53.304	13.465	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_75	52.152	13.992	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_76	53.168	13.074	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_77	53.66	12.287	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_78	53.16	12.852	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_79	53.201	13.337	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_80	53.527	12.536	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_81	53.345	13.441	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_13	SiteID_82	53.135	12.984	No	North	Palearctic	Europe	Germany	Freshwater	Lentic	Lake	(stratified)	Trophic	interaction	Foodweb	Bacteria+PrimProd+Protozoan+Zooplankton	Tube	sampler	and	Apstein	plankton	net		
StudyID_14	SiteID_83	31.5	-64.1	No	North	Nearctic	Atlantic	Ocean	Sargasso	sea	Marine	Marine	NA	Seasonality	Foodweb	Bacteria+PrimProd	Plankton	net						
StudyID_15	SiteID_84	40.284	-3.534	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_85	40.298	-3.508	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_86	40.32	-3.503	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_87	40.297	-3.511	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_88	40.296	-3.501	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_89	40.298	-3.502	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
